Reason_Theme,CiteKey,ID,Algo_Theme,DecisionTheme,Man_Theme,Match,Title,Year,PublicationTitle,Creators,Publisher,AffiliationCountry,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,Num_Factors,F1,F2,F3,F4,F5,F6,F7,F8,F9,F1_THEME,F2_THEME,F3_THEME,F4_THEME,F5_THEME,F6_THEME,F7_THEME,F8_THEME,F9_THEME,NUM_FAC_NOTSIG,FNS1,FNS2,FNS3,FNS4,ResearchType,SampleSize,METHOD1,METHOD2,METHOD3,METHOD4,Tech,THEORY1,THEORY2,THEORY3,THEORY4,LIMIT1,LIMIT2,LIMIT3,Abstract
gamification,,p2_107,"market, psychological, demographic",market,"demographic, market",1,mobile banking usage and gamification: the moderating effect of generational cohorts,2020,,gentjan cera,,,mobile banking,utaut2,gamification,transition country,generation y and z,psl-sem,NA,NA,NA,NA,7,peex,efex,socinf,fac_cond,hed_motiv,habt,game,,,personal,personal,social,external,psychological,personal,market,,,0,,,,,quantitative,380,pls sem,,,,,utaut2,,,,,,,"The extended unified theory of acceptance and use of technology (UTAUT2) model to gain insight regarding mobile banking (m-banking) usage has been developed. By combining three perspectives, UTAUT2, gamification and generational cohort theory, this study seeks to investigate the factors which impact m-banking usage and to examine the moderating effect of generations Y and Z into the relationship between gamification and intention to use m-banking. The adopted model was tested in a quantitative study by employing partial least square structural equation modelling. To carry out the data analyse 380 valid questionnaire has been proceed. Within the study are provided scientific evidences concerning the UTAUT2 model and gamification elements. The results revealed that the age significantly moderate the relationship between gamification and behavioural intention. Compare to generation Z, individuals inborn before 1996 (generation Y) scored lower on gamification, manifest lower intention to use m-banking, whereas m-banking users score higher gamification indicated higher behavioural intention. Besides identifying the determinants of m-banking usage, this study notably reveal the importance of generational cohorts as moderators effect of gamification on m-banking behavioural intention."
In agreement,,p2_108,"psychological, personal, perceptive",personal,"social, personal, perceptive",1,mobile-banking adoption: empirical evidence from the banking sector in pakistan,2018,,maya f. farah,,,pakistan,intention,bank customers,m-banking,utaut2,use behaviour,NA,NA,NA,NA,6,peex,efex,socinf,hed_motiv,habt,pval,,,,personal,personal,social,psychological,personal,perceptive,,,,0,,,,,,490,sem,,,,,utaut2,,,,no_long,loc_specific,,Purpose – The purpose of this paper is to study the important factors which help explain consumer intention and use behavior in mobile banking (m-banking) adoption. All constructs of the unified theory of acceptance and use of technology 2 are studied. Non-monetary value is studied through perceived value. Trust and perceived risk are also included to predict intention.
In agreement,,p2_109,"psychological, market, social",psychological,"psychological, social",1,modeling the success of application-based mobile banking,2019,economies,"morteza ghobakhloo, masood fathi",mdpi,"sweden, iran",information-systems success,customer satisfaction,mclean model,e-commerce,empirical-examination,behavioral intention,relationship quality,user acceptance,service quality,perceived value,4,satis,post_trst,exp_adv,pu,,,,,,psychological,psychological,personal,perceptive,,,,,,0,,,,,quantitative,402,sem,,,,mobile banking,dm,,,,limit_scope,,,"the present study addresses the issue of mobile banking customer retention by developing and empirically testing a theoretical model that describes the way mobile banking success is achieved. the data collection process was conducted via a web-based questionnaire survey through which 402 usable responses from users of application-based mobile banking services were collected. the data collected were further analyzed via covariance-based structural equation modeling. results indicate that application-based mobile banking success can be defined in terms of the favorable attitude toward and repeated use of mobile banking applications. experienced advantage, user satisfaction, and post-use trust toward mobile banking applications are among the critical enablers of application-based mobile banking success. the findings of this research can enable academicians and practitioners, banks, and financial institutions, in particular, to devise the mechanism through which the success of application-based mobile banking services can be facilitated."
In agreement,,p2_110,"psychological, perceptive, market",psychological,"perceptive, psychological",1,predicting mobile banking acceptance and loyalty in chinese bank customers,2019,sage open,"abdul waheed siyal, ding donghong, waheed ali umrani, saeed siyal, shaharbano bhand",sage publications inc,pakistan,technology acceptance,internet banking,consumer adoption,user acceptance,organizational research,planned behavior,online-banking,perceived risk,method bias,m-commerce,6,resist_chng,prisk,awar,pbenef,pu,peou,,,,psychological,perceptive,psychological,perceptive,perceptive,perceptive,,,,0,,,,,quantitative,,pls sem,,,,mobile banking,tam,,,,no_long,question,,"mobile banking (m banking) is the breakthrough technology in banking sector which has significantly improved efficiency of banks and peoples quality of life. banks seem particularly interested in such systems that provide their customers with better services. however, acceptance of and loyalty to m banking depends on how effectively banks motivate their customers to adopt the technology and retain their continued use. the adoption rate in china is very low and quite a few studies have focused on issues related to m banking. the purpose of this study is to examine factors that affect m banking adoption and usage intentions of chinese bank customers. the proposed model has extended the technology acceptance model (tam). data were collected through a field survey questionnaire and analyzed through partial least square structural equation modeling (pls-sem). the results showed that acceptance of and loyalty to m banking among chinese bank customers was significantly and positively affected by resistance to change, perceived risk and low awareness of services, and perceived benefits. the results will be useful to retain existing users and attract new ones. this study is unlike past studies that merely studied short messaging service (sms) banking and initial adoption or technological aspects of m banking. this study also provides chinese banks with applicable strategies to effectively design and implement m banking; thus, it is expected to potentially contribute to prevailing literature, especially in the context of china, where few studies that address m banking acceptance and loyalty exist currently."
In agreement,,p2_111,"psychological, perceptive, cultural",psychological,"cultural, psychological, perceptive",1,predicting mobile banking adoption: an integration of tam and tpb with trust and perceived risk,2021,,ziad aldammagh,,palestine,tam,tpb mobile banking,perceived risk,trust,palestine,NA,NA,NA,NA,NA,7,trst,prisk,pu,peou,attd,sbj_nrm,pbhv_ctrl,,,psychological,perceptive,perceptive,perceptive,psychological,social,perceptive,,,1,sbj_nrm,,,,quantitative,250,sem,,,,mobile banking,tam,tpb,,,no_long,sample,loc_specific," Mobile banking has been a game changer for financial organizations in terms of remote banking services. However, many customers remain uncertain due to its security. Therefore, improving the comprehension of the customer’s reasons and methods of using bank sites, including their behaviour towards e-banking, is crucial. This article discusses the matter by suggesting a technology acceptance model that integrates the theory of the planned behavior model in the classic TAM model with trust and perceived risk in order to elucidate the aspects that influence users’ acceptance of mobile banking applications in Palestine. This study is designed to give both theoretical and empirical support for e-commerce adoption. We are also capable in providing particular marketing ideas for practitioners in relation to the uptake of mobile banking."
,,p2_112,"psychological, perceptive, personal",perceptive,perceptive,1,predicting the intention to use mobile banking in india,2018,,sindhu singh,,india,india,adoption,mobile banking,NA,NA,NA,NA,NA,NA,NA,6,peou,self,socinf,pcost,sec,trst,,,,perceptive,psychological,social,perceptive,external,psychological,,,,2,trst,socinf,,,quantitative,855,sem,,,,mobile banking,tam,sct,utaut,,no_mod,sample,,Purpose – The purpose of this paper is to identify factors influencing the adoption of mobile banking in India and develop and empirically validate a model explaining the behavioural intention to use mobile banking in the Indian banking sector.
,,p2_113,"psychological, perceptive, demographic",psychological,"perceptive, psychological, social",1,predictors of customers continuance intention of mobile banking from the perspective of the interactivity theory,2022,economic research-ekonomska istrazivanja,"lan-xiang yin, hsien-cheng lin","routledge journals, taylor & francis ltd",china,technology acceptance model,perceived interactivity,information-systems,sharing behavior,user acceptance,social media,adoption,satisfaction,perceptions,gender,8,hh_int,hi_int,hs_int,pu,peou,ppriv,sec,satis,,social,external,external,perceptive,perceptive,perceptive,external,psychological,,0,,,,,quantitative,349,sem,,,,mobile banking,tam,pit,,,sample_size,loc_specific,,"in order to test the key factors affecting users continuance intention of mobile banking apps, this study combined the technology acceptance model (tam) with the perceptual sinteraction model, and further added human-system interaction and perceived privacy security that was not explored in these models before. data were collected from 349 users who had experience with mobile banking to test the model and were analyzed with a structural equation model. the present study showed that various interactive characteristics of mobile banking (human-human interaction, human-information interaction, human-system interaction) had significant positive impacts on users perceptions of using mobile banking (perceived usefulness, perceived ease of use, perceived privacy security). users perceptions of using mobile banking had significantly positive impacts on users satisfaction with mobile banking, and user satisfaction had a significant impact on users continuance intention. users income level had a significantly negative impact on their continuance intention. in order to further enhance users continuance intention for mobile banking, designers and managers of mobile banking are suggested to pay special attention to the interactive characteristics of mobile banking and the impact on users perceptions of mobile banking, so as to improve customer satisfaction and continuous intention."
,,p2_114,"market, psychological, perceptive",market,"market, demographic, cultural",1,promoting sustainable financial services through the adoption of ewallet among malaysian working adults,2022,sage open,"noorshella che nawi, abdullah al mamun, naeem hayat, linda seduram",sage publications inc,malaysia,technology acceptance model,behavioral intention,information-technology,mobile-banking,unified theory,self-efficacy,perceived usefulness,user acceptance,extended tam,wallet,6,pu,peou,socinf,fac_cond,compat,ptrst,,,,perceptive,perceptive,social,external,external,perceptive,,,,0,,,,,quantitative,1156,pls sem,,,,e-wallet,tam,utaut,,,sample,no_long,,"this study investigated the effect of perceived usefulness, perceived ease of use, social influence, facilitating conditions, compatibility, and perceived trust on the intention and adoption of electronic wallet (ewallet) among working adults in malaysia. the cross-sectional research design was adopted to gather quantitative data from 1,156 working adults via google form link shared across the social media platform. the collected data were analyzed with partial least square structural equation modeling (pls-sem) tool using smartpls 3.1. the study outcomes revealed that perceived usefulness, perceived ease of use, facilitating conditions, compatibility, and perceived trust displayed significantly positive effect on both the intention to use and the adoption of ewallet. additionally, the intention to use ewallet mediated the relationships of perceived usefulness, perceived ease of use, social influence, facilitating conditions, compatibility, and perceived trust with adoption to use ewallet. household income significantly moderated the relationship between compatibility and intention to use ewallet. ewallet service providers and financial development policy making in malaysia should focus on promoting the application of ewallet to uplift its social influence, besides enhancing consumer security to harness the adoption of ewallet amidst the public. essentially, the intention-behavior gap needs to be bridged by exploring new factors that can affect the behavior."
,,p2_115,"market, psychological, social",market,"demographic, market",1,quick response code indonesia standard (qris) e-payment adoption: customers perspective,2024,cogent business & management,"evan hamzah muchtar, budi trianto, irwan maulana, muhammad nurul alim, ruslan husen marasabessy, wahyu hidayat, edy junaedi,",taylor & francis as,indonesia,mobile-banking,information-technology,behavioral intention,empirical-evidence,internet banking,utaut,acceptance,fintech,india,demonetization,2,socinf,fac_cond,,,,,,,,social,external,,,,,,,,2,peex,efex,,,quantitative,195,pls sem,,,,qris e-pay,utaut,,,,sample_size,loc_specific,,"the indonesian government has now developed a qris epayment for non-cash transaction between msmes and customers. msmes are the main channel for the success of the program through various transaction services provided to customers. this study aims to investigate the determine customers intention to adopt of qris e-payment in indonesia. extended of utaut theory will be used to investigate. partial least squares structural equation modeling (pls-sem) was use to analyze the data. using the purposive sampling technique, this study collected 195 respondents. we found that there are two main variables driving the customer in adopting of qris e-payment, namely social influence and facilitating conditions. meanwhile, the variable performance expectancy and effort expectancy have a positive but insignificant effect. this result implies that in order to increase customer intention to use the qris e-payment system by consumers in indonesia, qris service providers need to form a favorable opinion in society by increasing social influence through collaborating with community leaders or important people in their community and facilitating services that facilitate community adopts qris. this will encourage customer intention to adopt of qris e-payment and accelerate the migration of cash transactions to non-cash transactions in indonesia."
,,p2_116,"psychological, perceptive, market",market,"psychological, market",1,role of mediator in examining the influence of antecedents of mobile wallet adoption on attitude and intention,2023,global business review,"deepak chawla, himanshu joshi",sage publications inc,india,perceived security,user acceptance,empirical-examination,customers adoption,banking adoption,internet banking,tam model,trust,technology,determinants,6,pu,trst,sec,fac_cond,life_compat,peou,,,,perceptive,psychological,external,external,personal,perceptive,,,,0,,,,,quantitative,744,pls sem,,,,e-wallet,tam,utaut,,,loc_specific,sample,,"the purpose of this article is to explore the mediating role of perceived usefulness, trust and attitude on a users intention towards use of mobile wallets in india. while mediation has been studied by earlier researchers in the context of online commerce, mobile banking, short message service (sms) banking, mobile money, etc., not many studies exist in the context of mobile wallets. considering the potential of mobile wallets in india, previous relationships from the theories of technology adoption like technology acceptance model (tam) and unified theory of acceptance and use of technology (utaut) were adapted to investigate the determinants of user attitude and intention towards mobile wallet adoption. based on data from 744 respondents collected through a survey, partial least squares (pls) structural equation modelling was used to test the research model. convenience sampling was used to select the respondents. the results revealed that out of the nine paths wherein mediation was examined, in two paths full mediation was found while it was partial in the remaining cases. this study extends research in explaining attitude and intention through multiple mediating relationships. the implications for research and practice and future research directions are discussed."
,,p2_117,"psychological, cultural, social",psychological,"psychological, personal",1,role of mobile banking in financial inclusion:,2023,,sonal raina tikku,,,agri traders,behavioural intention,cashless economy,digitalisation,financial inclusion,financial literacy, india,mobile banking,NA,NA,5,pu,eou,trst,fin_lit,tech_infra,,,,,perceptive,external,psychological,personal,external,,,,,0,,,,,quantitative,,survey analysis,,,,mobile banking,,,,,sample,,,"Financial inclusion is the driving force for growth in emerging markets of the world. It boosts the process of development and poverty alleviation for any economy. Most of the banks utilise an expensive brick and mortar model; therefore, mobile banking can act as a facilitator for financial inclusion in economic manner. This study identifies the factors effecting adoption of mobile banking among agri traders in wholesale commodity markets of India. It also explores the challenges faced by them, in mobile banking adoption. Structured questionnaires were used for primary data collection and the sample of 230 agri traders was analysed. Confirmatory factor analysis was done using SPSS 26 and for structural equation modelling Smart PLS3 was used. Empirical results of research show that perceived usefulness, ease of use and trust have significant and positive impact on behavioural intention towards mobile banking adoption among agri trader community of India. Social influence had no significant impact on behavioural intentions of the agri trader. Adoption of mobile banking by agri traders will pave the way forward for digital transformation of economy, leading to cashless economy and financial inclusion at grass root levels of society."
,,p2_118,"psychological, cultural, perceptive",psychological,psychological,1,scale development and validation for measuring the adoption of mobile banking services,2019,,deepak chawla,,,mobile banking,tam,internet,online,banking,scale development,india,NA,NA,NA,7,eou,trst,efish,life,conv,bhv_intnt,attd,,,external,psychological,external,personal,external,psychological,psychological,,,0,,,,,quantitative,283,efa,cfa,,,,tam,tra,doi,,,,,"Mobile banking (m-banking) has provided new opportunities to banks to engage more effectively with customers. With increasing smartphone penetration and affordable internet connectivity, both urban and rural India are witness to an increase in the number of mobile internet users. A majority of the recent studies on m-banking are focused on developed countries. Among Indian studies, a majority of them focus on internet banking, not many exist that explore the factors which influence user attitude (ATT) and intentions to adopt m-banking. This article aims to propose a scale to study m-banking adoption and validate it in the Indian context. An exploratory study was conducted through a literature review, a focus group discussions and some personal interviews. Exploratory factor analysis (EFA) was carried out which resulted in seven factors labelled as ease of use (EOU), ATT, lifestyle (LS), convenience (CON), efficiency (EFF), trust (TR) and behavioural intention (BI). The measurement model was estimated using confirmatory factor analysis to test the reliability and validity of the scale. The study improves the technology acceptance model (TAM) by adding TR, CON and EFF as relevant factors. The scale also integrates LS to the existing factors and focuses on both socio-technical aspects. The scale can be used by banks to assess how consumers perceive their m-banking service and identify gap areas and opportunities for developing viable m-banking services."
,ndofirepiAdoptionMobileBanking2019f,p2_119,"cultural, perceptive, psychological",cultural,"personal, cultural, demographic",1,the adoption of mobile banking among college students in zimbabwe,2019,,takawira munyaradzi ndofirepi,,,banking,risk,lifestyle fit,ease of use,usefulness,adoption,zimbabwe,NA,NA,NA,4,peou,pu,attd,life_fit,,,,,,perceptive,perceptive,psychological,personal,,,,,,0,,,,,quantitative,376,hierarchical regression,,,,,tam,doi,,,,,,"Although mobile banking platforms have in recent years become an established feature of banking services offered in developing countries, scholars in those resource-constrained contexts neglect to examine the determinants of the acceptance of the above-mentioned products in seldom explored customer segments. Results on the same topic from countries with auspicious macroeconomic milieus may not reflect accurately the state of affairs in less encouraging situations. In response to this oversight, we explored some of the theoretically established predictors of mobile banking adoption to assess their applicability among students at a selected college in Zimbabwe, across-sectional survey of 376 college students, all of whom were customers of a particular bank, was conducted in the Midlands Province (Zimbabwe). The hierarchical regression test results revealed that only perceived ease of use, perceived usefulness, attitude towards use and lifestyle fit significantly predicted students’ adoption of mobile banking. Risk perception and other demographic variables did not significantly affect the adoption of mobile banking. Based on these findings, providers and marketers of digital banking should emphasise issues like perceived usefulness, ease of use as well as product compatibility when pitching value propositions to college students. The significance of this lies in the study’s quest to integrate different theoretical perspectives on innovation and technology adoption to understand the mobile banking services consumption behaviour of young adults in a hostile economic environment."
,patsiotisAntecedentsMbankingUsage2022n,p2_120,"psychological, market, perceptive",psychological,psychological,1,the antecedents of m-banking usage under capital controls in greece - a mixed methods approach,2022,international journal of bank marketing,"athanasios patsiotis, ioannis krasonikolakis, jing lyu",emerald,england,mobile banking,unified theory,self-service,information-technology,computer anxiety,user acceptance,perceived risks,adoption,innovation,consumers,5,peou,pu,prisk,anxiety_tech,dec_comf,,,,,perceptive,perceptive,perceptive,psychological,psychological,,,,,0,,,,,mixed method qualquant,325,thematic analysis,regression,,,mobile banking,tam,,,,limit_scope,incomp_fac,,"purpose capital controls restrict cash withdrawals and international transfers, among other restrictions. the purpose of the study is to explore how capital controls have influenced m-banking usage and disclose the underlying factors that explain m-banking usage intentions. design/methodology/approach grounded on the technology acceptance model (tam), this study assumes that usage behavior may be different from intentions to adopt. in-depth interviews (study 1) were employed with both consumers and bank employees to explore the factors of m-banking adoption under capital controls, followed by an online survey (study 2) pertaining to examine the relationships between underlying factors. findings study 1 reveals that the growth of m-banking usage is strongly associated with capital controls that perceived ease of use, usefulness, risk, technology anxiety and decision comfort are significant attributes in influencing usage intention. study 2 verifies that most underlying factors are important predictors of m-banking usage intention, except technology anxiety does not impact m-banking usage. research limitations/implications the respective effects on usage intentions may be different in the absence of capital controls. a similar study could examine the importance of the respective constructs in conditions of no forced use. the case of forcing consumers to adopt a technological innovation could be further explored. practical implications retail banking consumers have changed their banking and financing behaviors because of capital controls. forced usage may cause customers to cultivate positive attitudes towards the technology and consider it for continuous usage. originality/value capital controls were found to impact positively customer behavior towards m-banking. it is revealed that capital controls have forced bank customers to adopt and use m-banking for their financial needs."
,,p2_121,"psychological, personal, demographic",demographic,demographic,1,the antecedents of mobile banking adoption among senior citizens in malaysia,2023,,sara andalib touchaei,,malaysia,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,peex,efex,socinf,fac_cond,hed_motiv,resist_chng,,,,personal,personal,social,external,psychological,psychological,,,,0,,,,,survey quantitative,384,pls sem,,,,mobile banking,utaut2,,,,,,,"The use of mobile banking is growing globally. However, the adoption of mobile banking has been sluggish among senior population. Seniors has become a significant market segment in online marketing field, but to date, few studies have investigated adoption of mobile banking by older customers. This study investigated the key factors affecting adoption of mobile banking among senior citizens in Malaysia. An integrated model was developed by assimilating factors from UTAUT2 model along with a factor from personality trait group namely dispositional resistance to change that is a second-order construct. A questionnaire based survey was conducted on seniors aged above 50 who were non-users of mobile banking in Kuala Lumpur (N _ 384). The result of structural equation modelling revealed the negative influence of dispositional resistance to change and the positive impacts of performance expectancy, effort expectancy, social influence, facilitating condition and hedonic motivation on seniors’ intention to adopt mobile banking."
,,p2_122,"psychological, perceptive, demographic",psychological,"psychological, demographic",1,the confidence of and concern about using mobile banking among generation z: a case of the post covid-19 situation in thailand,2023,social sciences-basel,"wischaya silanoi, phaninee naruetharadhol, khwanjira ponsree",mdpi,thailand,technology acceptance model,information-technology,perceived usefulness,consumer acceptance,electronic commerce,privacy concerns,decision-making,user acceptance,payment systems,adoption,6,pu,peou,socinf,fac_cond,ptrst,prisk,,,,perceptive,perceptive,social,external,perceptive,perceptive,,,,1,peou,,,,quantitative,390,sem,,,,mobile banking,tam,utaut,,,sample,loc_specific,,"this research paper focuses on mobile banking acceptance among generation z users by combining the technology acceptance model (tam) and the unified theory of acceptance and use of technology (utaut) theory, as well as extending the theories with perceived trust and risk. during the covid-19 pandemic, the online questionnaire survey was distributed using google forms, and the sample group was thai generation z who were aged between 18 and 25 years old. the research objectives aim to (i) investigate the crucial effects that potentially affect user intention and actual usage of mobile banking, (ii) identify the most influential factor impacting users intention and behavior, (iii) further study the trust and risk perception of generation z users on mobile-banking intention and actual usage, (iv) discuss the findings with the antecedent studies, and (v) contribute the research findings both theoretically and practically. the proposed constructs include perceived usefulness, perceived ease of use, social influence, facilitating conditions, perceived trust, perceived risk, behavioral intention, and actual usage. there are fourteen proposed hypotheses to be tested. based on the outcomes and the standardized coefficient beta, perceived usefulness (beta = 0.518) was the strongest factor determining generation zs behavioral intention, while perceived ease of use (beta = 0.809) impacting perceived usefulness demonstrated the strongest relationship among all of the hypotheses."
,,p2_123,"psychological, social, market",social,social,1,the effect of mobile banking application on customer interaction in jordanian banking industry,2019,,khaled aldiabat,,,mobile banking,reliability,quality of service,credibility,security,NA,NA,NA,NA,NA,5,rely,serv_qual,eou,cred,sec,,,,,external,external,external,external,external,,,,,0,,,,,descriptive,165,linear regression,,,,mobile banking,,,,,,,,"Banks have changed from paper-based banking solutions provider to the latest of the technologies like mobile banking. Adoption of mobile-banking has received more attention in recent years, because there are more phones than computers in the market. But, like in any emerging technology, there exist barriers to the adoption of mobile banking services. This study will attempt to technically address these largely unfounded factors while helping to lay a roadmap for proper implementation of mobile banking technology in the Jordanian banking industry. The study found that Supportive Access factor of mobile banking is associated with the user satisfaction related to mobile banking. © 2018, International Association of Online Engineering."
,SudarsonoTheIntentionOfMuslim2022,p2_124,"personal, psychological, market",personal,"demographic, personal, psychological",1,the intention of muslim customers to adopt mobile banking: the case of islamic banks in indonesia,2022,cogent business & management,"heri sudarsono, muamar nur kholid, aidha trisanty, maisaroh maisaroh",taylor & francis as,indonesia,innovation diffusion-theory,online banking,consumer adoption,internet banking,technology,acceptance,model,determinants,religiosity,framework,5,compat,comx,obsrv,awar,religis,,,,,external,external,external,psychological,personal,,,,,3,rel_adv,trial,prisk,,quantitative,219,pls sem,,,,mobile banking,idt,,,,sample,loc_specific,,"the purpose of this study is to examine the influence of innovation diffusion theory (idt), perceived risk, customer awareness, and religiosity on customer intention in islamic bank mobile banking (m-banking). this study examines 219 islamic bank customers who accepted islamic banking at various times. the pls-sem technique was used to evaluate data from 219 respondents with the assistance of smart pls 3.0. the data processing results show that compatibility, complexity, observability, awareness, and religiosity affect the intention to adopt mobile banking. meanwhile, relative advantage, trialability, and perceived risk do not affect customers intention to adopt m-banking. religiosity has the greatest influence on customer intention in adopting m-banking compared to compatibility, observability, and awareness. as a result of these findings, islamic banks must adhere to islamic values when creating mobile banking technologies. additionally, islamic banks must continue to innovate to maintain a competitive advantage and mitigate risks associated with mobile banking."
,,p2_125,"personal, psychological, cultural",personal,"personal, psychological",1,the key determinants of behavioural intention towards mobile banking adoption,2019,,"r. tamilselvi, p. balaji",,,mobile banking,behavioural intention,hedonic motivation,performance expectancy and risk.,NA,NA,NA,NA,NA,NA,5,peex,efex,habt,trst,hed_motiv,,,,,personal,personal,personal,psychological,psychological,,,,,2,fac_cond,risk,,,empirical,100,multiple regression,,,,,,,,,,,,"This research was conducted to understand the customer behaviour in mobile banking usage intention and adoption with the primary objective to explore the factors determining the behavioural intention of mobile banking adoption practices among the bank customers in the study area. The empirical research design was adopted by employing survey method to collect responses from target population through convenient non-probability sampling method. The primary data collected were subjected to analysis using SPSS Version 17.0 and the statistical tools such as, percentage analysis, descriptive statistics, Independent sample t test, Analysis of Variance and multiple regression analysis. The empirical evidences reveal that Performance Expectancy, Effort Expectancy, Habit and Trust are significant and positively influencing the Behavioural Intention of the Mobile Banking whereas, Hedonic Motivation has significant and negative influence on Behavioural Intention of the Mobile Banking. This study concluded that banks should advertise and promote mobile banking through handsets and live demonstration counters at selected branches manned by a dedicated staff to adopt various promotional activities for enhancement in digital literacy and financial inclusion with other government schemes. Banks must extensively engage in the promotion of all Digital based initiatives launched by the Government of India and engage its customers to install banking Apps like BHIM, PhonePe, Payment Banks, etc. to facility effortless banking on their own palms. This research paper aims in exploring various insights related to behavioural intention towards the adoption of mobile banking especially among youth in the Chennai city and Hyderabad city. This study also aims to explore the key determinants of mobile banking adoption among customers of public and private sector bank customers."
,chawlaModeratingEffectDemographic2018i,p2_126,"demographic, psychological, perceptive",demographic,"demographic, psychological",1,the moderating effect of demographic variables on mobile banking adoption: an empirical investigation,2018,,deepak chawla,,,mobile banking,demographic variables,attitude,moderation effect,regression analysis,india,NA,NA,NA,NA,7,peou,pu,attd,intnt,sex,age,income,,,perceptive,perceptive,psychological,psychological,demographic,demographic,demographic,,,1,edu,,,,empirical,,multiple regression,,,,,tam,doi,,,,,,"The objective of this article is to analyze if demographic characteristics influence user attitude towards mobile banking. The sample comprise of current users of online banking. Although earlier studies on technology adoption models have received considerable empirical validation, most of the studies did not consider moderating variables. Among those, which consider moderating variables, primarily explored are gender, age and income. By including other moderator variables in the model, we hope to lessen the inconsistencies found in past research studies. To test the moderating effect, two methods, viz. multiple linear regression and Fisher Z transformation are used. Results show that gender, age, qualification, experience, occupation, income and marital status were significant moderating variables. However, educational background did not show any moderating effect. Our results suggest that by extending the Technology Acceptance Model (TAM) and Diffusion of Innovations (DoI) theory, the research provide insights into the factors influencing consumers’ attitude to adopt mobile banking applications. Besides, the results of moderating effect improve our understanding of the demographic differences, which influence the degree of mobile banking adoption. This study will help researchers and practitioners to come up with improved mobile adoption frameworks and applications with greater understanding of the influence of demographic factors."
,,p2_127,"psychological, perceptive, cultural",psychological,"perceptive, psychological, social",1,the predictors of mobile banking usage: a systematic literature review,2023,,mohammed abd al-munaf hashim,,,m-banking,tam,service quality,loyalty,utaut,NA,NA,NA,NA,NA,8,serv_qual,trst,pu,peou,sec,risk,priv,socinf,,external,psychological,perceptive,perceptive,external,external,external,social,,0,,,,,review,,slr,,,,,,,,,,,,"Mobile banking has become an essential method to conduct banking transaction. However, number of users worldwide are still limited. The purpose of this study is to review the literature and understand the status of m-banking adoption, usage, and loyalty. Keywords were used to search for related articles in three databases namely, Web of Science (WoS), Scopus, and Google scholar. Filtering process was conducted to select the most related articles. This has resulted in reviewing 45 articles. The findings showed that number of articles pertaining to m-banking is increasing. Malaysia and Indonesia have the largest number of articles. The technology acceptance model (TAM) is being used widely in the m-banking literature and most of the reviewed studies are empirical with adequate sample size. This explains the increased usage of structural equation model (SEM). The most critical factors for m-banking adoption, usage, and loyalty are service quality, trust, perceived usefulness, perceived ease of use, security, risk, privacy, and social influence. Future research is suggested to examine the m-banking in different region and using mediating and moderating variables to explain the variation in the adoption."
hybrid pay system,,p2_128,"market, cultural, social",cultural,"cultural, market",1,the role of collectivist cultural practices in supporting a hybrid payment system among small and medium enterprises (smes) in pakistan,2024,future business journal,"khan burhan khan, noor ismawati jaafar, shamshul bahri zakaria",springer,"malaysia, pakistan",factors influencing adoption,mobile-banking adoption,qualitative research,extending utaut2,internet banking,unified theory,acceptance,leadership,creation,NA,5,colcul,trst,loyal,obed,inter_dep,,,,,social,psychological,psychological,psychological,external,,,,,0,,,,,qualitative,,case study,,,,hybrid payment system,,,,,loc_specific,limit_method,,"despite having to rely on hybrid payment systems that combine manual and electronic methods, less developing countries such as pakistan still manage to perform business transactions successfully. this success is partly due to the indigenous collectivist cultural practices in pakistan society. however, an explanation of how indigenous culture supports information systems in general, and in particular payment systems, is scarce. this study adds to the knowledge of culture and information systems by exploring how indigenous culture in pakistan enables hybrid payment systems to flourish. a case study was conducted in the marble industry of kpk pakistan where qualitative data were collected through semi-structured interviews with the industrys participants. the findings highlight the role of the indigenous collectivist cultural practice of pakhtunwali in successfully implementing the hybrid payment system in smes in pakistan. the study makes a theoretical contribution to knowledge about culture and payment systems by examining the role of collectivist cultural practices in supporting the hybrid payment system in pakistan. the study highlights the role of collectivist cultural practices in overcoming the limitations of the hybrid payment system. the study also informs sme owners/managers about the importance of local cultural practices in pakistan and how these can be utilized and maintained to improve the transactional practices of businesses."
,,p2_129,"demographic, personal, psychological",demographic,demographic,1,the role of generational cohorts in mobile banking adoption: evidence from south-eastern europe,2022,,gentjan √ßera,,,mobile banking,generation x,generation y,generation z,utaut2,effort expectancy,social influence,facilitating conditions,habit,hedonic motivation,6,peex,efex,socinf,fac_cond,habt,hed_motiv,,,,personal,personal,social,external,personal,psychological,,,,0,,,,,,959,pls sem,,,,mobile banking,utaut2,,,,loc_specific,,,"The extended unified theory of acceptance and use of technology (UTAUT2) model extensively explains consumers’ behaviour. However, from the service providers’ perspective, understanding the role of generational cohorts in technology acceptance is necessary. The paper explores this role in mobile banking adoption by investigating its moderating effect on the linkages between the antecedents of the UTAUT2 model and behavioural intention. The article uses the partial least square method and regressions with generation as a multi-categorical moderator to investigate the moderating effect in a sample of 959 individuals from South-Eastern Europe. Findings reveal that generations govern most of the linkages between the antecedents of UTAUT2 and behavioural intention. These relationships were stronger for generation Y than generation __, while there were no differences between generation __ and __. The paper contributes to the literature by providing theoretical and practical insights in the context of developing countries."
